Transcript	CNT.21	CNT.28	CNT.35	CNT.42	CNT.49	CNT.56	CNT.63	CNT.70
Sobic.002G010100	0.465920883452727	18.0680118934346	101.590955017777	221.012059852239	547.420964743903	1703.358855236	2646.13472929813	3203.07965986824
Sobic.010G254300	4390.75739354921	1281.46496803711	1316.29659250204	735.138094267207	283.37085233802	172.734458722013	94.7477025953786	76.2647567327809
Sobic.002G342100	0	0	0	0	0	17.0314855929594	108.889475603472	159.034102595548
Sobic.010G085400	10.4234058380222	244.028013066285	1473.38783395727	1970.84829310955	2308.02339105995	2728.04348672747	2863.55577903112	2811.32617083356
Sobic.005G203200	0.465920883452727	0	0	0	0	2.8038902722363	3.79126677078473	2.27046959293999
Sobic.001G086500	472.294880112195	1250.81466774232	4846.67854250211	5091.60913015701	6920.04501902734	6295.65087322474	7628.62001556476	8134.94402748354
Sobic.009G063400	6406.37472227877	9700.5082690316	8662.99883226446	4563.3045370474	5066.86404720312	2291.91389900263	2405.09980048497	2209.43832142632
Sobic.002G160800	66.1904553754074	84.6832351974777	107.684229725076	74.2137678856921	46.6917881693329	8.52969823946101	11.973627923192	12.1947585514104
Sobic.003G031100	0	0	2.61826225781129	5.25913730239239	3.22012332202296	22.1128867679332	31.2503545806308	32.1114760427534
Sobic.009G036500	74.1622665646512	199.028591127896	394.906756385722	69.2145667076206	16.1006166101148	2.82356150936165	3.58072382622456	3.14013600941132
Sobic.010G207100	15661.7598054309	9449.46906794251	9285.33189256474	9812.82634424482	8992.19437674911	5076.08039189194	4642.38634973212	4795.48059007506
Sobic.005G150900	242.46434131702	187.43448228839	271.212655028987	287.996219985702	370.31418203264	293.072116588153	348.938473838064	456.641192312614
Sobic.009G175500	4634.32056369696	3077.44758458693	3843.87910420788	3372.03819617359	3384.34961144613	1953.26506043678	1870.70612932285	2144.54099340203
Sobic.002G118700	8750.15523582337	16758.805178582	13931.4633478295	5611.43688205469	6670.48546157056	2352.25618542587	3229.98367929389	2164.10563497121
Sobic.008G183900	232.26850664094	129.987419552093	331.695923934985	668.167801310003	769.609473963487	938.655379381519	1115.0168018456	1385.51549166117
Sobic.006G034400	303.087101936361	303.986081480732	469.170009816647	414.954809852976	276.930605693974	875.043861216149	1261.83811221087	1273.24286586138
Sobic.002G297300	15644.0611918103	7564.88219480018	17018.9157176036	11008.4879055083	7116.47254167074	5240.61722153895	4165.72073361414	4456.10581198277
Sobic.001G393300	27650.1455925635	20144.6551152929	20486.3089650198	16453.2742965762	14771.5107089498	9603.51893028249	9172.94512122566	9113.94105102268
Sobic.K031800	2596.05274029631	1464.46068975589	1615.33467132892	1429.89707953719	1251.01791060592	913.696722407232	829.25841417197	840.864698483452
Sobic.004G265200	2069.85214556737	895.438346746005	294.385014700919	242.181073763714	143.295487830022	193.641582873399	164.488579727897	50.00096689034
Sobic.010G015800	550.154963731627	215.62139517242	432.807813380769	363.152650962776	296.251345626112	130.203097333608	94.3704835444399	121.082590669257
Sobic.002G075500	3928.80302231565	6484.76372584743	6780.43995679545	3433.71993991697	3909.22971293587	1474.906977137	1899.85823902461	1641.37733662668
Sobic.009G221400	18.4178450151128	10.6676705327693	39.089763082281	53.402308175969	59.5722814574247	288.802958826813	282.80057314264	204.422256824264
Sobic.001G379100	8.4977630548105	25.7609646122708	41.0704916519279	10.2806182336612	3.22012332202296	7.9525448074233	4.58421058586975	5.8925212400414
Sobic.002G255200	1978.351406013	1141.96718636205	2324.32988338314	1112.62471543895	938.665948369692	625.55049957481	509.436709491157	489.13052512061
Sobic.002G205500	52.1845946617452	470.12167587775	771.345306181472	118.224544453553	43.4716648473099	18.7299872937237	21.360933714352	19.42787919934
Sobic.003G296400	164.034096205753	1066.5371691387	2018.11467742249	274.22946639357	85.3332680336084	43.9841513805559	54.0502354262781	46.6487950565936
Sobic.002G373100	314.492305302069	73.7715575387609	425.8765912263	584.585362367621	817.911323793831	1629.84480317193	2886.78313713563	2832.94243609984
Sobic.001G396400	0	0	0.898432689912007	0	3.22012332202296	17.0886435344001	49.2380551555352	33.3196721156987
Sobic.004G267000	10807.1411260382	2881.42769953506	8939.46708032822	6949.69230183794	4563.71977813704	1434.42848977123	973.410181695637	763.147505352851
Sobic.003G105900	7792.8914801674	6037.20464789886	5514.58306597384	5338.03512678807	5701.22834164165	4150.7728750099	4303.40304533331	4193.62902565408
Sobic.009G073500	1.94663647639197	0	37.5070360760844	104.835789360788	114.314377931815	69.9340159225976	117.62406660054	112.269905049962
Sobic.009G068400	8.94727463717634	25.7609646122708	24.547605758514	26.9576293143094	37.031418203264	59.4808890486557	77.2446903552801	84.7647538020106
Sobic.006G051700	25.6765107878272	49.4371965431773	94.8831165995415	84.726375351846	141.68542616901	236.472402505051	211.926480368223	257.636647923113
Sobic.006G181000	8380.49899461579	5445.83941196963	7285.3988310132	4708.88622765346	4324.62562147683	3635.16253931383	2248.97067247166	2591.97783539715
Sobic.010G261800	33.8332932881266	40.878560807884	40.0609534534979	34.6673952180732	14.4905549491033	47.6480154843265	83.932843605567	81.7407479440545
Sobic.009G068900	473.596076555971	331.734570309919	1034.66299344608	1890.77732759099	1859.62121846826	2699.29419285801	3215.26356905004	2706.07604024872
Sobic.008G029000	74.4081752949675	48.2667511104934	135.084979015563	124.231823391688	186.767152677332	203.464558720659	306.750522707322	361.382254825486
Sobic.009G073800	0	8.59508890946087	1.79686537982401	5.10406694939206	4.83018498303444	10.1037886385714	12.8385158588228	18.5938059902955
Sobic.005G046250	81.4926728354794	98.9108462605221	119.402510116211	157.386648621607	297.861407287124	291.132816008998	331.285028931873	409.644375157852
Sobic.003G136600	194.926224143661	320.725684186756	480.229395327287	112.217591413315	62.7924047794477	4.51887127067503	14.0086070169496	11.6594531025801
Sobic.004G169600	102.983251582126	92.4004900324257	51.741521881951	110.078746976632	178.716844372274	328.867445684037	302.685110546292	280.985890014132
Sobic.001G526200	60.2201147880497	180.37535651812	158.685316626053	63.4906292108991	30.5911715592181	29.9410202737025	29.6644669504607	24.0629832441289
Sobic.003G251800	8.66825333206606	35.8191103125865	90.1580903673132	22.0082218532458	6.44024664404591	6.2521873367236	5.94212853116664	6.28576334195923
Sobic.002G041800	257.743048871384	71.1016021410546	367.262674773029	358.203810330732	547.420964743903	1394.40863623191	1760.93061067025	1496.29813970191
Sobic.005G013600	84.6483595095942	72.2477454576267	90.1229130763899	117.843152006691	148.125672813056	211.578330095382	244.442186359715	273.801773094764
