Transcript	CNT.21	CNT.28	CNT.35	CNT.42	CNT.49	CNT.56	CNT.63	CNT.70
BTX642.Lnc03G11697.1	75.2206829551648	74.8812476811653	74.1827038235465	51.6128006476013	46.6917881693329	15.8295966057961	7.9718182078471	3.01454663190863
BTX642.Lnc05G20068.1	0	0	0	0	1.61006166101148	3.42862582736195	21.4389106425672	18.8449847453009
BTX642.Lnc08G27391.2	102.757314714849	93.607388639277	52.035251413662	25.3956764738191	19.3207399321377	15.9133292636838	12.9824040999143	5.54717762612718
BTX642.Lnc01G5251.1	133.800394951873	101.312492416169	51.9815138484308	50.6006992075944	37.031418203264	54.9758247366241	50.5846508760856	44.6201536894842
BTX642.Lnc01G4768.2	0	0	9.27899989042811	5.22026699797435	9.66036996606887	34.5449603717808	27.2197241923293	20.5911315356838
BTX642.Lnc06G23655.1	178.288873443655	101.599028245312	152.583464321831	122.757960759003	152.95585779609	65.4997646723999	62.4953515300459	90.4355285502732
BTX642.Lnc03G12566.2	406.82788714091	238.919958338764	184.134701633534	151.110890367817	270.490359049928	114.374020328232	114.635507380505	143.942668377656
BTX642.Lnc09G30255.1	10.8063737788939	15.714969970011	15.9039124795575	22.5535537423391	24.1509249151722	39.0606397030049	31.0080104132279	56.5936345842574
BTX642.Lnc02G7820.1	23.9469363671447	64.4940374485113	18.8701135641095	14.4903422835412	17.7106782711263	9.09542008321058	4.49483972501102	2.62679585312739
BTX642.Lnc08G28326.2	2039.72223433017	2148.82576142159	1825.82738390628	1666.87413698705	1729.20622392633	2397.87394077291	2008.18605163718	2055.36911025451
BTX642.Lnc01G2580.1	1.94663647639197	0	0	1.94777983196792	4.83018498303444	5.63888336988608	8.48227495782619	6.29125466509581
BTX642.Lnc01G3411.1	2289.20162562409	3186.99900110967	5185.98390504196	6078.42339548908	6339.6177902327	4811.58276937432	3614.95430289245	4011.62075588759
BTX642.Lnc01G5094.2	1167.75391699707	1272.86692123316	845.918792679788	1282.66995475715	673.005774302798	1934.68279697907	1702.51401380342	1055.7427911809
BTX642.Lnc01G5041.1	141.840678049897	95.9239773885329	89.5638629519791	109.179062836386	64.4024664404591	48.8645279992288	38.1898653558762	51.4493590720175
BTX642.Lnc05G20253.1	25.6929200889141	21.6279524237097	27.7604355891581	26.7041930896358	38.6414798642755	39.8624163922587	39.036207971547	53.9683621513556
BTX642.Lnc01G5052.1	103.227583714272	145.141468921875	144.953950415939	139.327499994697	75.6728980675395	277.810259685554	174.367421760022	66.9709512335585
BTX642.Lnc01G154.1	90.0980604809982	74.3446291970469	69.5461326057066	108.447511751864	107.874131287769	81.9106750570305	78.8562746927264	69.8793372087762
BTX642.Lnc05G19716.1	58.7658837175308	37.5990805777241	87.041996779665	51.5808300758296	53.1320348133788	12.4352655432985	19.43498938106	22.0546750524674
BTX642.Lnc04G15421.2	5.51533817575173	84.4149259554185	7.03291816564809	9.38750792816461	4.83018498303444	15.9819187934126	34.54255853408	36.7888785555365
BTX642.Lnc07G24804.1	5.03300799121211	11.2407421910554	5.6445300921413	5.18139669355632	4.83018498303444	5.67503390468588	7.79307648612965	11.4396988661686
BTX642.Lnc06G22784.2	27.1946293750336	19.5432197423453	16.7524140050596	13.2065595772798	19.3207399321377	4.55821374492574	1.94031881582173	9.64433095347845
BTX642.Lnc03G10764.1	18.8546252513385	46.4867808453559	24.452185695047	21.5385762496294	12.8804932880918	18.1299706851098	16.3329210819718	8.91388182939026
BTX642.LncK34577.1	52.8465839077272	68.7364091595751	60.1706050574815	61.5084136191285	62.7924047794477	115.694017782904	70.1975668803737	94.3040459471795
BTX642.Lnc08G28476.1	27.1280857335394	49.1324341269504	49.848292979063	52.861410831491	54.7420964743903	62.3334006448197	48.4367696655898	75.5080649304407
BTX642.Lnc09G28962.4	10.5483461669638	13.0207124561929	23.9622303114522	20.6831036545355	30.5911715592181	31.7182069229682	21.8570159818013	30.0403188139043
BTX642.Lnc10G33169.2	19.6916891666694	24.5540660054193	7.35469580447098	0	0	0	0.986060019332227	0
BTX642.Lnc08G26832.1	34.4906981420152	54.179733564192	52.2441681970727	47.2156248082774	28.9811098982066	28.8699264670949	29.7538378113195	29.652568035123
BTX642.Lnc06G22971.3	3.08637151482014	11.5455046072823	21.6666891520608	29.0981172096802	37.031418203264	16.9248897584955	10.4225937736479	14.548410356986
BTX642.Lnc09G29177.4	101.680445362969	138.838666645558	280.344285200044	166.376173551688	230.238817524641	118.775903376995	105.083906058054	138.820249461089
BTX642.Lnc01G829.1	42.0612038220136	46.7793922035268	58.5148127749145	78.8842259665704	87.7483605251256	39.3815069296149	59.6144015159136	45.4515816299214
BTX642.Lnc03G12025.1	2.32502002517023	2.96256675587728	0.449216344956003	3.11741681300612	3.22012332202296	5.08964082381093	13.429258404208	21.0730471733738
BTX642.Lnc05G20037.3	2.42896666093158	2.66995539770631	0	2.02552044080399	0	1.12320403866196	0	0
BTX642.Lnc05G20055.2	13.710430107465	10.6555194747135	26.0891219962732	17.5705322508166	14.4905549491033	4.52896668944766	7.67190440242819	6.26664410394218
BTX642.Lnc06G21183.1	54.2105061257715	53.6188129639619	75.9611849518283	83.0534787367325	67.6225897624821	84.8519603126435	149.552976098333	178.301125300577
BTX642.Lnc08G27620.1	2118.83039866675	2226.42146513331	2661.6954315252	2435.92480068512	3167.79631804008	3309.51700946373	3045.86683066102	3014.20635567424
BTX642.Lnc05G20207.1	646.185233948196	294.964719574485	253.292595541227	237.253839025728	320.402270541284	375.330051478875	331.213675124073	305.592466261287
